region,year,share_online
Северо-Кавказский федеральный округ,2020,0.5
Республика Дагестан,2020,0.1
Республика Ингушетия,2020,0.1
Кабардино-Балкарская Республика,2020,0.3
Карачаево-Черкесская Республика,2020,0.6
Республика Северная Осетия -Алания,2020,0.5
Чеченская Республика,2020,0.0
Ставропольский край,2020,1.2
Приволжский федеральный округ,2020,2.5
Республика Башкортостан,2020,0.6
Республика Марий Эл,2020,1.9
Республика Мордовия,2020,1.1
Республика Татарстан,2020,3.8
Удмуртская Республика,2020,1.4
Чувашская Республика,2020,2.0
Пермский край,2020,2.4
Кировская область,2020,2.3
Нижегородская область,2020,3.9
Оренбургская область,2020,1.7
Пензенская область,2020,1.3
Самарская область,2020,3.2
Саратовская область,2020,2.7
Ульяновская область,2020,1.5
Уральский федеральный округ,2020,2.8
Курганская область,2020,1.7
Свердловская область,2020,4.1
Тюменская область,2020,1.4
в том числе: Ханты-Мансийский авт. округ,2020,1.4
Ямало-Ненецкий авт. округ,2020,1.4
Тюменская область без авт. округов,2020,1.5
Челябинская область,2020,2.8
Сибирский федеральный округ1),2020,3.2
Республика Алтай,2020,2.1
Республика Тыва,2020,1.4
Республика Хакасия,2020,0.7
Алтайский край,2020,2.1
Красноярский край,2020,2.0
Иркутская область,2020,1.3
Кемеровская область - Кузбасс,2020,1.3
Новосибирская область,2020,8.0
Омская область,2020,2.5
Томская область,2020,5.6
Дальневосточный федеральный округ1),2020,1.5
Республика Бурятия,2020,0.5
Республика Саха (Якутия),2020,2.0
Забайкальский край,2020,0.9
Камчатский край,2020,1.7
Приморский край,2020,1.7
Хабаровский край,2020,1.6
Амурская область,2020,1.8
Магаданская область,2020,1.5
Сахалинская область,2020,1.2
Еврейская авт.область,2020,0.9
Центральный федеральный округ,2021,7.0
Белгородская область,2021,3.5
Брянская область,2021,1.7
Владимирская область,2021,1.9
Воронежская область,2021,5.0
Ивановская область,2021,3.2
Калужская область,2021,3.1
Костромская область,2021,3.8
Курская область,2021,2.5
Липецкая область,2021,3.7
Московская область,2021,8.8
Орловская область,2021,4.2
Рязанская область,2021,1.6
Смоленская область,2021,1.6
Тамбовская область,2021,4.2
Тверская область,2021,1.7
Тульская область,2021,1.4
Ярославская область,2021,2.1
г.Москва,2021,9.2
Северо-Западный федеральный округ,2021,6.0
Республика Карелия,2021,1.9
Республика Коми,2021,4.8
Архангельская область,2021,5.2
Ненецкий автономный округ (Архангельская область),2021,3.1
Архангельская область (кроме Ненецкого автономного округа),2021,5.3
Вологодская область,2021,3.2
Калининградская область,2021,2.0
Ленинградская область,2021,4.1
Мурманская область,2021,1.9
Новгородская область,2021,3.4
Псковская область,2021,1.1
г. Санкт-Петербург,2021,8.8
Южный федеральный округ,2021,4.9
Республика Адыгея,2021,4.1
Республика Калмыкия,2021,0.8
Республика Крым,2021,5.9
Краснодарский край,2021,4.3
